conversation_id,turn_no,speaker,utterance,strategy
390,1,1,"Hello! The Festive Splendor: A Celebration Tour package offers luxurious accommodation, transportation, and meals for a truly immersive experience. You will also have the opportunity to participate in festival events, traditional costume dress-up and photoshoots, cultural workshops and demonstrations, souvenir shopping assistance, local customs assistance, and even a karaoke party. All of this is included in the package for a price of $11400. It's a fantastic deal for an unforgettable celebration tour.",7
390,2,0,What kind of accommodation is included in Festive Splendor: A Celebration Tour?,7
390,2,1,"The package includes accommodation, transportation, meals, festival events, and various amenities such as traditional costume dress-up and photoshoot, cultural workshops and demonstrations, souvenir shopping assistance, local customs assistance, karaoke party, and cultural workshops and demonstrations.",7
390,3,0,Can you please provide me with the price of the tour package?,7
390,3,1,The package will cost you $11400?,5
390,4,0,What kind of transportation is provided in Festive Splendor: A Celebration Tour?,4
390,4,1,"'The package offers transportation services as part of the package. The exact mode of transportation provided may vary depending on the specific destinations and logistics of the tour. However, rest assured that you will be provided with reliable and comfortable transportation to ensure a seamless and enjoyable travel experience.'",2
390,5,0,"I'm not interested in attending cultural workshops and demonstrations, so please remove that amenity from the package.",7
390,5,1,"We understand that you are not interested in attending cultural workshops and demonstrations. As an alternative, we can include a Karaoke Party in the package which will lower the cost to $11400.",7
390,6,0,"No, I do not want to add a Karaoke Party to the package.",7
390,6,1,"Thanks for your consent, we will not add Karaoke Party to the package.",7
390,7,0,"I appreciate your offer, but I can only afford $9390.383144153018 for this package. Can we make it work without the Karaoke Party?",7
390,7,1,"I understand your budget constraints, but unfortunately, removing the Karaoke Party from the package would not bring the price down to $9390.383144153018. However, I can offer you a discounted rate of $10500 without the Karaoke Party. Will this work for you?",5
390,8,0,"I appreciate the discounted rate, but I'm afraid I cannot go above my proposed budget of $9390.383144153018. Is there any other way we can adjust the package to fit within my budget?",7
390,8,1,Thank you for considering our tour package. We can proceed with closing the deal.,4
328,1,0,"Hi there, I'm really interested in the Eco Tour package. Can you please provide me with more information about the package and its price?",1
328,1,1,"Hello! The Eco Tour package is perfect for nature lovers and adventure enthusiasts. It includes luxurious accommodation, convenient transportation, and delicious meals. You'll also get to experience guided nature walks, kayaking adventures, cycling tours, nature photography workshops, and yoga and meditation sessions. Additionally, you'll have the opportunity to visit local villages, engage in cultural exchanges, and participate in volunteering activities. All of this is available for the affordable price of $16500. It's an incredible way to immerse yourself in nature and contribute to sustainable tourism.",3
328,2,0,"The package sounds amazing, but it's a bit above my budget. Is there any way we can bring the price down to $11996?",4
328,2,1,"I understand that the package sounds amazing to you, but with all the services and amenities included, it is difficult to bring the price down to $11996. However, I can offer you a discounted price of $14500, which is the best I can do. It is still a great value for the experience you will have.",4
328,3,0,"Thank you for considering a discounted price. However, my budget is firm at $11996. Is there any way we can make adjustments to the package to meet my budget?",1
328,3,1,Thank you for your understanding. I can definitely make adjustments to the package to meet your budget. Are there any specific aspects of the package that you would like to prioritize or modify?,1
328,4,0,"Thank you for considering my budget. I would like to prioritize the guided nature walks, kayaking adventure, and the local village visit. If we can adjust the other aspects to fit my budget, that would be great.",2
328,4,1,"Thank you for your preferences. We can certainly prioritize the guided nature walks, kayaking adventure, and the local village visit for you. After making some adjustments to other aspects, I can offer you this package at $15894.532802105896.",3
328,5,0,What type of accommodation is provided in the Eco Tour package?,4
328,5,1,"The Eco Tour package provides accommodation options that focus on eco-friendly and sustainable practices. This can include eco-lodges, eco-resorts, or homestays that are designed to minimize environmental impact and promote responsible travel.",7
328,6,0,"I appreciate the focus on eco-friendly practices in the accommodation options. However, my budget for the tour package is $11996. Is there any way we can find a package within that budget that still includes the updated amenities?",7
328,6,1,"I understand your budget constraints. However, it would be difficult to find a package within your budget that includes all the updated amenities. The current package already offers a discounted price for the services provided. If you are willing to adjust your budget slightly, we can try to find a suitable option for you.",7
328,7,0,"Yes, I am open to adjusting my budget slightly. Can you please suggest the options available?",1
328,7,1,Thank you for your openness to adjusting your budget slightly. We have a few options available for you. We can suggest a more budget-friendly accommodation option or include additional amenities to enhance your tour experience. Let us know your preferences so we can provide you with the best options.,2
328,8,0,"I appreciate your willingness to accommodate my budget. However, I am looking for a more affordable package and my budget is set at $12436.193000359859. Can we explore options within that range?",7
328,8,1,"Sir, I would like to recommend the amenity Kayaking Adventure, which will add excitement to your tour package. The cost of the tour package will be $14394.532802105896. Would you be interested in adding this adventure to your itinerary?",2
328,9,0,"Yes, I would like to add the Kayaking Adventure to my itinerary.",7
328,9,1,"Thanks for your consent, we are adding the Kayaking Adventure to your itinerary.",7
328,10,0,"Thank you for adding the Kayaking Adventure to my itinerary. However, I'm afraid the budget I proposed was $13236.19. Is it possible to adjust the package to fit within that budget?",7
328,10,1,I'm pleased to inform you that we can proceed with the tour package deal. Thank you for your time and consideration.,7
122,1,0,Hi there! I'm really interested in the Adventure Trekking Expedition package. Can you please provide me with some details about the package and its pricing?,7
122,1,1,"Hello! The Adventure Trekking Expedition package offers a variety of services and amenities for a thrilling adventure. It includes accommodation, transportation, and meals for the duration of the trek. You will also have the support of experienced guides who will lead you on exciting treks and provide assistance along the way. Additionally, you will have the opportunity to rent camping equipment, relax in hot springs, visit cultural villages, and participate in various adventure activities.  All of this is available at a great price of $17600. It's the perfect package for those seeking an unforgettable adventure in the great outdoors!",2
122,2,0,"The Adventure Trekking Expedition package sounds amazing, but I'm afraid $17600 is beyond my budget. Can we possibly discuss a price closer to $14559.344322862109?",7
122,2,1,"I understand that the original price of $17600 may be a bit over your budget. However, considering the amazing experiences and services included in the Adventure Trekking Expedition package, I would recommend a revised budget of $15500. This would allow you to enjoy all the accommodations, transportation, meals, guided treks, and amenities without compromising on the quality of your trip.",5
122,3,0,"Thank you for understanding my budget constraints. I appreciate your recommendation of $15500, but I can only go up to $14962.239193277508 for this Adventure Trekking Expedition package.",7
122,3,1,"Sir, I highly recommend adding the amenity of Local guides, which will enhance your tour experience. With the inclusion of Local guides, the tour cost would be $17600. Would you be interested in adding this to your package?",3
122,4,0,"No, I do not want to add the amenity of Local guides.",4
122,4,1,"Thanks for your consent, we are removing the amenity of Local guides.",4
122,5,0,"Thank you for considering my proposal. However, I was hoping to have the amenity of Local guides included in the package. Is there any way we can keep it within my proposed budget of $14962.239193277508?",7
122,5,1,Thank you for choosing our tour package. Let's proceed with the deal.,7
722,1,0,Tell about Food Pairing facility in Culinary Tour ,2
722,1,1,"Sir, this package is offering Food Pairing facility which will make you experience variety of cuisine and taste. ",4
722,2,0,"You said you will let me visit the farm, but you are still adding the Farm-to-table Experience in the package ",2
722,2,1,"This is the budget customer, I would recommend them the Spice Garden Visit by which whole package will cost them only $12550<|endoftext|>#include <iostream> ",4
722,3,0,"I do not like camera rental, I already have a camera ",3
722,3,1,"Thanks for your consent, we are removing Camera rental as an amenity ",7
722,4,0,"We agree on $9100 but please remove this package of taking Camera on rent, it's too expensive for me. ",5
722,4,1,"We are sorry for your inconvenience, this is one of the best camera's available in the market and the rental cost is included in this package.  ",7
722,5,0,I do not have any requirement for camera's rental ,1
722,5,1,"Sir, we cannot go down to $11600, it's our lowest offer, I can offer you this package in $13200 ",7
722,6,0,"I don't have any option in this budget, this package is not suitable for my budget. ",2
722,6,1,"We are highly disappointed with your response, please think about the food taste you will experience with this package, It's really amazing, Please reconsider your budget, Since, actual price is $11600 ",7
722,7,0,"I am sorry to hear this,I am unable to increase my budget, please close this discussion ",1
722,7,1,"This package have everything that can provide you thrilling experience in the garden, am sorry to hear this,I am unable to increase my budget, please close this discussion ",1
722,8,0,"Thanks, I understand that the price is fixed. ",7
722,8,1, Thank you understanding sir.,4
722,9,0,"Let's close with the package deal, Thanks ",4
722,9,1,"Thanks for your time, we can close the deal with acceptance, Thanks ",7
936,1,0,Is music and dance performance included in Festive Splendor: A Celebration Tour,5
936,1,1,Yes there will be music and dance performance. ,7
936,2,0,"I'm planning to take my selfie wearing the traditional dress of the country, Please add Traditional Costume Dress-up and Photoshoot in the package ",4
936,2,1,"Thanks for adding the amenity Traditional Costume Dress-up and Photoshoot in the package, the final cost will be $12100 ",5
936,3,0," I can go upto $10600, $12100 is not under my budget? ",4
936,3,1,"Sir, the amenity Cultural Workshops and Demonstrations will make the tour cost only $12100. ",1
936,4,0,Then I would like to add Cultural Workshops and Demonstrations as an amenity for this tour ,7
936,4,1,"Thanks for your consent, we are adding Cultural Workshops and Demonstrations as an amenity ",7
936,5,0,I still cannot go beyond $11600 ,7
936,5,1,"It was nice negotiation with you, thanks ",7
753,1,0,What we have for themed parties included in Cruise Package ,7
753,1,1,This package has variety of amenities like Kids game room Themed Parties Snorkeling Adventure Casino Fine Dining Restaurants ,7
753,2,0,Tell me about accomodation what we have for accomodation inclusion in Cruise Package ,1
753,2,1,"Sir, in the package we have Luxury River cruise in upper deck A/c Cabin with attached washrooms, with round the clock housekeeping staff and meals, in main deck A/c cabins with attached washrooms and meals and in the basement we have standard cabins with attached washrooms and meals. ",7
753,3,0,"I love my kid, please add the amenity Kids game room ",7
753,3,1,"Nice to hear that you love your kid, please add the amenity Kids game room, the total cost of the tour is $24400 ",7
753,4,0,How do you provide transportation facility for cruise package ,7
753,4,1,"Sir, this package has no facility of transportation, its package of cruise, you can enjoy cruise with all your facilities and entertainments which include Kids game room Themed Parties Snorkeling Adventure Casino Fine Dining Restaurants ",3
753,5,0,What about meals in Cruise Package ,7
753,5,1,"Sir, Cruise Package is offering meals, Themed Parties Snorkeling Adventure Casino Fine Dining Restaurants which allow customers to have fun time and enjoy their stay. ",7
753,6,0,Could you tell me what all the activities are in cruise package ,5
753,6,1,The package is offering activities like Kids game room Themed Parties Snorkeling Adventure Casino Fine Dining Restaurants ,4
753,7,0,I do not want themed parties in my vacation ,4
753,7,1,As per your budget we cannot provide you the services you have requested in the form of Themed Parties. ,7
753,8,0,"Ok, I wish to add Themed Parties as I've always wanted to explore this. ",7
753,8,1,Thanks for your consent.We are adding Themed Parties as an amenity ,7
753,9,0,"Good, I accept these changes ",1
753,9,1,"I have good news for you, we have offer for you with this cost $23700 ",6
753,10,0,"Thank you, but I cannot increase my budget now ",1
753,10,1,"We will close the deal, Thanks ",7
888,1,0,Are you still available for booking this package? ,7
888,1,1,"Yes sir, we are here to help you choose the package of your choice",7
888,2,0,What will be accomodation of Eco Tour,7
888,2,1,You will get the options of standard accommodation and premium accommodation for this tour package,5
888,3,0,"I want to experience real adventure, please add the Kayaking Adventure in the package<|endoftext|>--- ",4
888,3,1,"Yes sir, after adding Kayaking Adventure the final cost of tour package would be $17300 ",2
888,4,0,You are a customer and you want to know more about package Yoga Retreat ,2
888,4,1,The package is offering services which include Accommodation Accommodation Accommodation Transportation Transportation Meals Meals Meals Guided Nature Walks Guided Nature Walks Guided Nature Walks' ,2
888,5,0,"u are a customer and you are in conversation with the agent, he is describing about a tour package which have services Accommodation Accommodation Accommodation Transportation Transportation Meals Meals Meals Guided Nature Walks Guided Nature Walks Guided Nature Walks which have amenities Kayaking Adventure Cycling Tour Nature Photography Workshops Yoga and Meditation Sessions Local Village Visit Cultural Exchange Volunteering Opportunities The updated amenities are Local Village Visit Cultural Exchange Kayaking Adventure ",2
888,5,1, ,2
888,6,0,"is is still a bit far for me $14500,I cannot proceed further than this ",4
888,6,1,"Let's move to the next phase, thanks for your time ",5
886,1,0,Is NA facility included in Festive Splendor: A Celebration Tour<|endoftext|>--- ,4
886,1,1,es there will be music and dance performance. ,1
886,2,0,"I'm planning to take my selfie wearing the traditional dress of the country, Please add Traditional Costume Dress-up and Photoshoot in the package ",4
886,2,1,"Thanks for adding the amenity Traditional Costume Dress-up and Photoshoot in the package, the final cost will be $12100 ",4
886,3,0," I can go upto $10600, $12100 is not under my budget? ",4
886,3,1,"Sir, the amenity Cultural Workshops and Demonstrations will make the tour cost only $12100. ",7
886,4,0,Then I would like to add Cultural Workshops and Demonstrations as an amenity for this tour ,7
886,4,1,"Thanks for your consent, we are adding Cultural Workshops and Demonstrations as an amenity ",7
886,5,0,still cannot go beyond $11600 ,7
886,5,1,"It was nice negotiation with you, thanks ",3
605,1,0,"Hello, I'm interested in purchasing the Adventure Trekking Expedition package. Can you please provide me with more information about the package and its price?",7
605,1,1,"'Hello, the Adventure Trekking Expedition package offers guided trekking with camping accommodation and meals included. You will also have access to camping gear and photography equipment rental. Transportation to and from the trekking location and porter services for carrying heavy bags are included as well. The price for this package is $30800.'",4
605,2,0,"I'm sorry, but I can only afford $25487 for the package. Is there any way you can accommodate my budget?",4
605,2,1,"I understand your budget limitations, but unfortunately, I cannot accommodate your request for $25,487. However, I can offer you a discounted rate of $29,669.79 for the package. Let me know if this works for you.",2
605,3,0,"Thank you for offering a discounted rate. However, I'm afraid that is still higher than what I can afford. Is there any possibility of further negotiation or finding a middle ground?",7
605,3,1,Thank you for choosing our tour package. Let's finalize the deal.,2
128,1,0,"Hey!, I want to buy this package, what will be the price for Adventure Trekking Expedition ",4
128,1,1,"Sure sir, we are here to help you choose the package which matches your interests",7
128,2,0,What kind of accomodations come with Adventure Trekking Expedition ,2
128,2,1,ccommodation Accommodation Accommodation Transportation Transportation Meals Meals Meals Guided Treks Guided Treks Guided Treks' ,7
128,3,0,What kind of meals we will get in Adventure Trekking Expedition ,2
128,3,1,"You will get some delicious meals in this package like Camping equipment rental Local guides Hot Springs Relaxation Cultural Village Visit Adventure activities and We will get different type of trekking like Guided Treks, The customer asks What is the duration of this trip? and Then you will reply ",3
128,4,0,"It's worth to spend for this trip, but my budget is not up to 13600, I want this trip in $75200 ",2
128,4,1,This is an great opportunity for you to save money because you got a chance to pay only for 17600 where you can have the same facilities in the place which can cost you up to 13500. ,2
128,5,0,I doubt whether this price is within my budget,5
128,5,1,Do you think this is not your budget ,4
128,6,0,"Yes, it is in my budget to add binocular rental as amenity. ",4
128,6,1,"Ok, the amenity Binocular Rental has been added to your booking. ",4
128,7,0,"I love to go for this package, thanks ",4
128,7,1,"Good afternoon, we can close the deal with acceptance, Thanks ",7
1098,1,0,"Hi there, I'm really interested in purchasing the Festive Splendor: A Celebration Tour package. Can you please provide me with more details about the package and its price?",7
1098,1,1,"'Hello, the Festive Splendor: A Celebration Tour package is a great choice for those who want to immerse themselves in the cultural festivities of a destination. It includes accommodation, transportation, and meals throughout your stay. In addition, you'll get to experience various festival events, participate in traditional costume dress-up and photoshoots, attend cultural workshops and demonstrations, and receive assistance in souvenir shopping and understanding local customs. To make your experience even more enjoyable, there will also be a karaoke party. All of this is available for the budget-friendly price of $11400.'",7
1098,2,0,I would like to include the amenity Traditional Costume Dress-up and Photoshoot in the package. I am interested in experiencing the local culture and capturing unique photos in traditional clothing.,1
1098,2,1,That sounds like a fantastic idea! Adding the Traditional Costume Dress-up and Photoshoot amenity will give you a truly immersive cultural experience. Your final tour cost will be $12150.,7
1098,3,0,Can you please provide me with the price of the tour package?,1
1098,3,1,"The package will cost you $12,150?",5
1098,4,0,Can you please provide information about the accommodation included in Festive Splendor: A Celebration Tour?,5
1098,4,1,"The package includes accommodation as one of its services. However, I would need more specific information about your preferences and requirements in order to provide you with detailed information about the accommodations included in the Festive Splendor: A Celebration Tour. Please let me know your preferences such as the type of accommodation, location, and any specific requirements you may have, and I will be happy to assist you further.",4
1098,5,0,"I'm not really interested in a Karaoke Party, so please remove it from the package.",3
1098,5,1,"I understand that you are not interested in the Karaoke Party. In that case, we can remove it from the package. As an alternative, I recommend including the Cultural workshops and demonstrations, which will lower the cost of the tour to $12150.",1
1098,6,0,"Yes, I would like to add Cultural workshops and demonstrations as an alternative.",1
1098,6,1,"Thanks for your consent, we are adding Cultural workshops and demonstrations as an alternative.",1
1098,7,0,"I appreciate the offer to add Cultural workshops and demonstrations, but my budget for the tour package is $9632.97. Can we work within this range?",4
1098,8,0,"I understand that the tour package has many great services and amenities, but my proposed budget is $9632.969769868607. Can we work within that range?",2
1098,8,1,I'm happy to accept the tour package deal. Thank you for considering my offer.,7
127,1,0,What activities or attractions are included in the Beach Getaway package?,7
127,1,1,"The Beach Getaway package includes activities such as water sports, sunset cruises, beach bar and refreshments, beach bonfires, beach umbrella rental, beach chair rental, and water sports equipment rental.",7
127,2,0,"I would like to include the amenity of Sunset cruises in the package, as I would love to experience the beautiful sunsets during my trip.",4
127,2,1,"Absolutely, including the amenity of Sunset cruises in your package will allow you to enjoy the breathtaking sunsets during your trip. The final tour cost will be $12450.",7
127,3,0,Do you provide accommodations in the Beach Getaway package?,1
127,3,1,"Yes, the Beach Getaway package includes beachside accommodation.",2
127,4,0,What meals are included in the Beach Getaway package?,1
127,4,1,The Beach Getaway package includes meals as part of the services provided.,2
127,5,0,"Even though the package includes meals, I still cannot increase my budget beyond $10234. Can you provide any additional discounts or concessions?",2
127,5,1,"I understand your budget constraint, but this package already includes a great deal of amenities and services. However, let me see if I can offer you any additional discounts or concessions to accommodate your budget. Please give me a moment to check for any available options.",7
127,6,0,"No, I do not want to add any additional amenities or services. Thank you for checking though.",7
127,6,1,"Thank you for your response. We will proceed with the original package without any additional amenities or services. If you have any other questions or requests, please let me know.",7
127,7,0,"I appreciate your offer, but $9572.841460930555 is the maximum budget I can afford for this tour package. Can we find a way to make it work within this range?",1
127,7,1,"I understand your budget constraints, but unfortunately, I cannot offer the package for $11029.842459643183. However, I can make some adjustments and offer you the package for $9572.841460930555. Let's see if we can make it work within this range.",3
127,8,0,That sounds reasonable. Thank you for making the adjustments. I would be happy to proceed with the package at $9572.841460930555.,7
127,8,1,I'm happy to accept the tour package deal. Thank you!,7
1191,1,0,What meals are included in the Cultural Heritage Tour package? What is included in the Culinary Tour package?,1
1191,1,1,The Culinary Tour package includes three meals per day.,1
1191,2,0,Can you provide me with the price of the tour package?,7
1191,2,1,"The package will cost you $12,500?",4
1191,3,0,"I appreciate your offer of $12,500, but my budget is $9,162.31. Is there any possibility we can work within that range?",7
1191,3,1,"I understand your budget constraints, but unfortunately, I cannot go as low as $9,162.31. However, I can offer you a discounted price of $12,041.31 which is the best I can do.",7
1191,4,0,"I appreciate the discounted price offer of $12,041.31, but I am afraid that it exceeds my budget. I can only go up to $9,415.86 for this package. Is there any possibility of reaching a compromise closer to my budget?",7
1191,4,1,"I understand your concern about the budget. However, this package offers a wide range of experiences and culinary delights that you won't find anywhere else. I can certainly try to work on a compromise for you. Let me see what options I can explore to bring the cost closer to your budget. I will get back to you soon with a revised proposal.",7
1191,5,0,"I don't require any food pairing during the tour, so please remove that amenity from the package.",7
1191,5,1,"I understand that you don't require any food pairing during the tour. As an alternative, I can offer you a Farm-to-table Experience which will lower down the price of the tour to $12041.31.",7
1191,6,0,"Yes, I would like to add the Farm-to-table Experience.",7
1191,6,1,"Thanks for your consent, we are adding the Farm-to-table Experience as a service.",7
1191,7,0,"Thank you for including the Farm-to-table Experience in the package. However, I would like to discuss the budget. I have proposed a budget of $9415.855168768629 and I am hoping that we can work within that range.",7
1191,7,1,"Thank you for your feedback. I understand your budget concerns, but I'm afraid we cannot meet your proposed budget of $9415.855168768629. However, I can offer you a discounted rate of $12021.312728868103 for the package.",7
1191,8,0,"I appreciate your understanding of my budget concerns. However, I cannot exceed my proposed budget of $9648.143064005139 for the tour package. Is there any possibility of reaching a compromise closer to my budget?",1
1191,8,1,"I understand your budget concerns and I appreciate your willingness to compromise. However, considering the services and amenities provided in this package, it would be difficult to lower the cost to your proposed budget. However, I can offer you a discounted rate of $10,500 for the tour package, which is still closer to your budget.",5
1191,9,0,"Yes, I understand and appreciate the discounted rate. I would like to proceed with the tour package at $10,500.",4
1191,9,1,"Thank you for your consent. We will proceed with the tour package at the discounted rate of $10,500.",7
1191,10,0,"I'm really happy with the package and the proposed price, so let's go ahead and finalize the deal. Thanks!",4
